03/07-10:51:36.142272 ,"ICMP PING",202.77.162.213,,172.16.115.5,
03/07-10:51:36.142481 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:51:36.522920 ,"ICMP PING",202.77.162.213,,172.16.115.20,
03/07-10:51:36.523117 ,"ICMP Echo Reply",172.16.115.20,,202.77.162.213,
03/07-10:51:38.224662 ,"ICMP PING",202.77.162.213,,172.16.115.87,
03/07-10:51:38.225436 ,"ICMP Echo Reply",172.16.115.87,,202.77.162.213,
03/07-10:51:41.955315 ,"ICMP PING",202.77.162.213,,172.16.115.234,
03/07-10:51:41.955526 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:51:50.267161 ,"ICMP PING",202.77.162.213,,172.16.113.50,
03/07-10:51:50.267354 ,"ICMP Echo Reply",172.16.113.50,,202.77.162.213,
03/07-10:51:51.133917 ,"ICMP PING",202.77.162.213,,172.16.113.84,
03/07-10:51:51.134111 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:51:51.667931 ,"ICMP PING",202.77.162.213,,172.16.113.105,
03/07-10:51:51.668699 ,"ICMP Echo Reply",172.16.113.105,,202.77.162.213,
03/07-10:51:52.761594 ,"ICMP PING",202.77.162.213,,172.16.113.148,
03/07-10:51:52.762437 ,"ICMP Echo Reply",172.16.113.148,,202.77.162.213,
03/07-10:51:53.271311 ,"ICMP PING",202.77.162.213,,172.16.113.168,
03/07-10:51:53.271560 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:51:53.296596 ,"ICMP PING",202.77.162.213,,172.16.113.169,
03/07-10:51:53.296729 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:51:54.187090 ,"ICMP PING",202.77.162.213,,172.16.113.204,
03/07-10:51:54.187263 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:51:54.263051 ,"ICMP PING",202.77.162.213,,172.16.113.207,
03/07-10:51:54.263207 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:51:55.797145 ,"ICMP PING",202.77.162.213,,172.16.112.10,
03/07-10:51:55.797195 ,"ICMP Echo Reply",172.16.112.10,,202.77.162.213,
03/07-10:51:56.050265 ,"ICMP PING",202.77.162.213,,172.16.112.20,
03/07-10:51:56.050431 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:51:56.814707 ,"ICMP PING",202.77.162.213,,172.16.112.50,
03/07-10:51:56.814875 ,"ICMP Echo Reply",172.16.112.50,,202.77.162.213,
03/07-10:51:58.090533 ,"ICMP PING",202.77.162.213,,172.16.112.100,
03/07-10:51:58.090686 ,"ICMP Echo Reply",172.16.112.100,,202.77.162.213,
03/07-10:51:58.220440 ,"ICMP PING",202.77.162.213,,172.16.112.105,
03/07-10:51:58.223819 ,"ICMP Echo Reply",172.16.112.105,,202.77.162.213,
03/07-10:51:59.339156 ,"ICMP PING",202.77.162.213,,172.16.112.149,
03/07-10:51:59.339355 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:52:00.486236 ,"ICMP PING",202.77.162.213,,172.16.112.194,
03/07-10:52:00.486393 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-10:52:00.817879 ,"ICMP PING",202.77.162.213,,172.16.112.207,
03/07-10:52:00.818096 ,"ICMP Echo Reply",172.16.112.194,,202.77.162.213,
03/07-11:08:07.354091 ,"RPC portmap sadmind request UDP",202.77.162.213,54790,172.16.115.20,111
03/07-11:08:07.359636 ,"RPC sadmind UDP PING",202.77.162.213,54792,172.16.115.20,32773
03/07-11:08:07.495446 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:07.495714 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:08:12.500631 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:12.500895 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:08:17.510789 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:17.511004 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:08:22.520758 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:22.521023 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:08:27.530805 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:27.531023 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:08:32.540866 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:32.541135 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:08:37.550920 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:37.551855 ,"ICMP Destination Unreachable Port Unreachable",172.16.115.87,,202.77.162.213,
03/07-11:08:42.560997 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:42.561259 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:08:47.571289 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:47.571586 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:08:52.581353 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:52.581606 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:08:57.591412 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:08:57.592266 ,"ICMP Destination Unreachable Port Unreachable",172.16.115.87,,202.77.162.213,
03/07-11:09:02.601433 ,"RPC portmap sadmind request UDP",202.77.162.213,54793,172.16.115.87,111
03/07-11:09:02.601698 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:12:09.636992 ,"RPC portmap sadmind request UDP",202.77.162.213,55484,172.16.113.50,111
03/07-11:12:09.658687 ,"RPC portmap sadmind request UDP",202.77.162.213,55485,172.16.113.105,111
03/07-11:12:09.658924 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:12:14.653731 ,"RPC portmap sadmind request UDP",202.77.162.213,55485,172.16.113.105,111
03/07-11:12:14.654534 ,"ICMP Destination Unreachable Port Unreachable",172.16.113.105,,202.77.162.213,
03/07-11:12:19.663766 ,"RPC portmap sadmind request UDP",202.77.162.213,55485,172.16.113.105,111
03/07-11:12:19.664096 ,"ICMP Destination Unreachable Port Unreachable",172.16.117.132,,202.77.162.213,
03/07-11:12:24.673825 ,"RPC portmap sadmind request UDP",202.77.162.213,55485,172.16.113.105,111
03/07-11:12:24.674088 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:12:29.683860 ,"RPC portmap sadmind request UDP",202.77.162.213,55485,172.16.113.105,111
03/07-11:12:29.684098 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:12:34.693968 ,"RPC portmap sadmind request UDP",202.77.162.213,55485,172.16.113.105,111
03/07-11:12:34.694240 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:12:39.704024 ,"RPC portmap sadmind request UDP",202.77.162.213,55485,172.16.113.105,111
03/07-11:12:39.704300 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
03/07-11:12:44.714084 ,"RPC portmap sadmind request UDP",202.77.162.213,55485,172.16.113.105,111
03/07-11:12:44.714344 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.194,,202.77.162.213,
