03/07-12:26:15.506681 ,"INFO TELNET access",172.16.115.20,23,202.77.162.213,49212
03/07-12:27:51.174814 ,"BAD-TRAFFIC loopback traffic",127.93.72.86,5126,131.84.1.31,4371
03/07-12:27:51.183436 ,"BAD-TRAFFIC loopback traffic",127.192.221.148,5184,131.84.1.31,14783
03/07-12:27:51.209230 ,"BAD-TRAFFIC loopback traffic",127.230.246.186,5348,131.84.1.31,31521
03/07-12:27:51.229332 ,"BAD-TRAFFIC loopback traffic",127.177.55.200,5452,131.84.1.31,30747
03/07-12:27:51.272879 ,"BAD-TRAFFIC loopback traffic",127.189.65.193,5723,131.84.1.31,19917
03/07-12:27:51.274214 ,"BAD-TRAFFIC loopback traffic",127.115.205.97,5742,131.84.1.31,29933
03/07-12:27:51.277712 ,"BAD-TRAFFIC loopback traffic",127.251.202.180,5792,131.84.1.31,2701
03/07-12:27:51.300031 ,"BAD-TRAFFIC loopback traffic",127.188.250.89,5938,131.84.1.31,28338
03/07-12:27:51.383266 ,"BAD-TRAFFIC loopback traffic",127.162.155.202,6419,131.84.1.31,23159
03/07-12:27:51.404305 ,"BAD-TRAFFIC loopback traffic",127.212.69.124,6620,131.84.1.31,16451
03/07-12:27:51.404428 ,"BAD-TRAFFIC loopback traffic",127.86.167.55,6621,131.84.1.31,32609
03/07-12:27:51.407706 ,"BAD-TRAFFIC loopback traffic",127.204.32.37,6640,131.84.1.31,11432
03/07-12:27:51.476436 ,"BAD-TRAFFIC loopback traffic",127.170.98.121,6992,131.84.1.31,5665
03/07-12:27:51.477914 ,"BAD-TRAFFIC loopback traffic",127.106.251.100,7006,131.84.1.31,16868
03/07-12:27:51.498924 ,"BAD-TRAFFIC loopback traffic",127.119.45.19,7145,131.84.1.31,6082
03/07-12:27:51.522903 ,"BAD-TRAFFIC loopback traffic",127.11.8.18,7325,131.84.1.31,10886
03/07-12:27:51.526872 ,"BAD-TRAFFIC loopback traffic",127.174.29.206,7381,131.84.1.31,23738
03/07-12:27:51.580028 ,"BAD-TRAFFIC loopback traffic",127.243.122.100,7735,131.84.1.31,26912
03/07-12:27:51.590465 ,"BAD-TRAFFIC loopback traffic",127.20.253.237,7801,131.84.1.31,30514
03/07-12:27:51.630699 ,"BAD-TRAFFIC loopback traffic",127.10.120.100,7920,131.84.1.31,32709
03/07-12:27:51.636437 ,"BAD-TRAFFIC loopback traffic",127.92.241.180,8001,131.84.1.31,17060
03/07-12:27:51.644838 ,"BAD-TRAFFIC loopback traffic",127.128.29.187,8121,131.84.1.31,17962
03/07-12:27:51.675918 ,"BAD-TRAFFIC loopback traffic",127.188.166.40,8298,131.84.1.31,16616
03/07-12:27:51.678138 ,"BAD-TRAFFIC loopback traffic",127.55.231.189,8331,131.84.1.31,31001
03/07-12:27:51.707383 ,"BAD-TRAFFIC loopback traffic",127.206.80.43,8540,131.84.1.31,32706
03/07-12:27:51.715745 ,"BAD-TRAFFIC loopback traffic",127.27.221.200,8619,131.84.1.31,28578
03/07-12:27:51.739686 ,"BAD-TRAFFIC loopback traffic",127.216.79.142,8719,131.84.1.31,30159
03/07-12:27:51.746754 ,"BAD-TRAFFIC loopback traffic",127.215.109.89,8820,131.84.1.31,10284
03/07-12:27:51.811569 ,"BAD-TRAFFIC loopback traffic",127.253.138.217,9145,131.84.1.31,8687
03/07-12:27:51.855684 ,"BAD-TRAFFIC loopback traffic",127.18.156.189,9527,131.84.1.31,12354
03/07-12:27:51.910641 ,"BAD-TRAFFIC loopback traffic",127.213.240.223,9863,131.84.1.31,21574
03/07-12:27:51.936433 ,"BAD-TRAFFIC loopback traffic",127.46.215.94,9951,131.84.1.31,25890
03/07-12:27:51.938641 ,"BAD-TRAFFIC loopback traffic",127.123.199.165,9974,131.84.1.31,17994
03/07-12:27:51.949164 ,"BAD-TRAFFIC loopback traffic",127.158.106.174,10124,131.84.1.31,7508
03/07-12:27:51.970217 ,"BAD-TRAFFIC loopback traffic",127.178.187.191,10189,131.84.1.31,25462
03/07-12:27:51.973971 ,"BAD-TRAFFIC loopback traffic",127.63.18.28,10236,131.84.1.31,14698
03/07-12:27:51.980251 ,"BAD-TRAFFIC loopback traffic",127.151.103.195,10305,131.84.1.31,20967
03/07-12:27:51.994118 ,"BAD-TRAFFIC loopback traffic",127.252.59.29,10429,131.84.1.31,1373
03/07-12:27:52.016849 ,"BAD-TRAFFIC loopback traffic",127.56.168.10,10553,131.84.1.31,29729
03/07-12:27:52.044437 ,"BAD-TRAFFIC loopback traffic",127.181.150.111,10684,131.84.1.31,18437
03/07-12:27:52.046416 ,"BAD-TRAFFIC loopback traffic",127.115.146.28,10711,131.84.1.31,16680
03/07-12:27:52.057042 ,"BAD-TRAFFIC loopback traffic",127.217.194.25,10843,131.84.1.31,2316
03/07-12:27:52.069524 ,"BAD-TRAFFIC loopback traffic",127.18.23.74,10923,131.84.1.31,24046
03/07-12:27:52.071427 ,"BAD-TRAFFIC loopback traffic",127.156.118.203,10936,131.84.1.31,18819
03/07-12:27:52.103268 ,"BAD-TRAFFIC loopback traffic",127.250.11.107,11009,131.84.1.31,31604
