"1","2000-03-07 08:26:15","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","49212","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET access","not-suspicious"
"2","2000-03-07 08:27:51","131.84.1.31","127.93.72.86","Tidak menggunakan ICMP","Tidak menggunakan ICMP","4371","5126","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"3","2000-03-07 08:27:51","131.84.1.31","127.192.221.148","Tidak menggunakan ICMP","Tidak menggunakan ICMP","14783","5184","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"4","2000-03-07 08:27:51","131.84.1.31","127.230.246.186","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31521","5348","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"5","2000-03-07 08:27:51","131.84.1.31","127.177.55.200","Tidak menggunakan ICMP","Tidak menggunakan ICMP","30747","5452","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"6","2000-03-07 08:27:51","131.84.1.31","127.189.65.193","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19917","5723","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"7","2000-03-07 08:27:51","131.84.1.31","127.115.205.97","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29933","5742","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"8","2000-03-07 08:27:51","131.84.1.31","127.251.202.180","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2701","5792","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"9","2000-03-07 08:27:51","131.84.1.31","127.188.250.89","Tidak menggunakan ICMP","Tidak menggunakan ICMP","28338","5938","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"10","2000-03-07 08:27:51","131.84.1.31","127.162.155.202","Tidak menggunakan ICMP","Tidak menggunakan ICMP","23159","6419","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"11","2000-03-07 08:27:51","131.84.1.31","127.212.69.124","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16451","6620","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"12","2000-03-07 08:27:51","131.84.1.31","127.86.167.55","Tidak menggunakan ICMP","Tidak menggunakan ICMP","32609","6621","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"13","2000-03-07 08:27:51","131.84.1.31","127.204.32.37","Tidak menggunakan ICMP","Tidak menggunakan ICMP","11432","6640","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"14","2000-03-07 08:27:51","131.84.1.31","127.170.98.121","Tidak menggunakan ICMP","Tidak menggunakan ICMP","5665","6992","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"15","2000-03-07 08:27:51","131.84.1.31","127.106.251.100","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16868","7006","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"16","2000-03-07 08:27:51","131.84.1.31","127.119.45.19","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6082","7145","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"17","2000-03-07 08:27:51","131.84.1.31","127.11.8.18","Tidak menggunakan ICMP","Tidak menggunakan ICMP","10886","7325","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"18","2000-03-07 08:27:51","131.84.1.31","127.174.29.206","Tidak menggunakan ICMP","Tidak menggunakan ICMP","23738","7381","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"19","2000-03-07 08:27:51","131.84.1.31","127.243.122.100","Tidak menggunakan ICMP","Tidak menggunakan ICMP","26912","7735","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"20","2000-03-07 08:27:51","131.84.1.31","127.20.253.237","Tidak menggunakan ICMP","Tidak menggunakan ICMP","30514","7801","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"21","2000-03-07 08:27:51","131.84.1.31","127.10.120.100","Tidak menggunakan ICMP","Tidak menggunakan ICMP","32709","7920","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
