"attack","ip_src","sport","ip_dst","dport","timestamp"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:08:07"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:08:12"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:08:17"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:08:22"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:08:27"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:08:32"
"misc-activity","172.16.115.87","0","202.77.162.213","0","2000-03-07 07:08:37"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:08:42"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:08:47"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:08:52"
"misc-activity","172.16.115.87","0","202.77.162.213","0","2000-03-07 07:08:57"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:09:02"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:12:09"
"misc-activity","172.16.113.105","0","202.77.162.213","0","2000-03-07 07:12:14"
"misc-activity","172.16.117.132","0","202.77.162.213","0","2000-03-07 07:12:19"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:12:24"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:12:29"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:12:34"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:12:39"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:12:44"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:12:49"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:12:54"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:12:59"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:13:04"
"misc-activity","172.16.113.148","0","202.77.162.213","0","2000-03-07 07:13:09"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:13:14"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:13:19"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:13:24"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:13:29"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:13:34"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:13:39"
"misc-activity","172.16.113.148","0","202.77.162.213","0","2000-03-07 07:13:44"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:13:49"
"misc-activity","172.16.113.148","0","202.77.162.213","0","2000-03-07 07:13:54"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:13:59"
"misc-activity","172.16.113.148","0","202.77.162.213","0","2000-03-07 07:14:04"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:10"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:15"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:20"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:25"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:30"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:35"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:40"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:45"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:50"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:15:55"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:16:00"
"misc-activity","172.16.112.100","0","202.77.162.213","0","2000-03-07 07:16:05"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:10"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:15"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:20"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:25"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:30"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:35"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:40"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:45"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:50"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:16:55"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:17:00"
"misc-activity","172.16.112.105","0","202.77.162.213","0","2000-03-07 07:17:05"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:10"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:15"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:20"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:25"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:30"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:35"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:40"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:45"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:50"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:17:55"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:18:00"
"misc-activity","172.16.112.194","0","202.77.162.213","0","2000-03-07 07:18:05"
